"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"dskUsed",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.disk.dskTable.dskEntry.dskUsed",".1.3.6.1.4.1.29009.2.1.6.1.1.4","INTEGER32","read-only","","MIRTH-MIB","""Used space on the disk."""
"dskPercent",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.disk.dskTable.dskEntry.dskPercent",".1.3.6.1.4.1.29009.2.1.6.1.1.5","OCTET STRING","read-only","","MIRTH-MIB","""Percentage of space used on disk."""
"dskIOReads",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.disk.dskTable.dskEntry.dskIOReads",".1.3.6.1.4.1.29009.2.1.6.1.1.6","COUNTER32","read-only","","MIRTH-MIB","""The number of read accesses from this device since boot."""
"dskIOWrites",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.disk.dskTable.dskEntry.dskIOWrites",".1.3.6.1.4.1.29009.2.1.6.1.1.7","COUNTER32","read-only","","MIRTH-MIB","""The number of write accesses from this device since boot."""
"dskDescr",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.disk.dskTable.dskEntry.dskDescr",".1.3.6.1.4.1.29009.2.1.6.1.1.8","OCTET STRING","read-only","","MIRTH-MIB","""The mount point of the device."""
"cpu",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.cpu",".1.3.6.1.4.1.29009.2.1.7",,,"","MIRTH-MIB",
"cpuRawUser",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.cpu.cpuRawUser",".1.3.6.1.4.1.29009.2.1.7.1","INTEGER32","read-only","","MIRTH-MIB","""User CPU time."""
"cpuRawSystem",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.cpu.cpuRawSystem",".1.3.6.1.4.1.29009.2.1.7.2","INTEGER32","read-only","","MIRTH-MIB","""System CPU time."""
"cpuRawIdle",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.cpu.cpuRawIdle",".1.3.6.1.4.1.29009.2.1.7.3","INTEGER32","read-only","","MIRTH-MIB","""Idle CPU time."""
"cpuLoad",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.cpu.cpuLoad",".1.3.6.1.4.1.29009.2.1.7.4","OCTET STRING","read-only","","MIRTH-MIB","""Load of the CPU."""
"services",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.services",".1.3.6.1.4.1.29009.2.1.8",,,"","MIRTH-MIB",
"postgresStatus",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.services.postgresStatus",".1.3.6.1.4.1.29009.2.1.8.1","INTEGER","read-only","","MIRTH-MIB","""The operational status of the postgres service."""
